Sentence00001|$ TIm pRetsetkiJe senAtu okresJIho soudu v uherskEm hraDiSTi radomIra veselA odUvodJila ozvobozeJI devjetasedmdesATiletEho vlaDimIra zavaDilIka. $
Sentence00002|$ natstandardJI zdravotJI pECe zmIJenIm nedostatkUm se mUZe kaZdI pomJerJe elegantJe vihnout, # uzavReJIm komerCJIho zdravotJIho pRipojiSTeJI. $
Sentence00003|$ mIsto urputnEho lpjeJI na udrZeJI souCasnE zamJestnanosTi, # je tReba zmIrJovat nejkRiklavjejSI socijAlJI dUsletki rostoucI nezamJestnanosTi. $
Sentence00004|$ banka se hodlA zabIvat pRedefSIm projektovIm financovAJIm stRedJe velkIdzh prUmislovIdzh podJikU, # a profinancovAJIm vIstavbi infrastrukturi. $
Sentence00005|$ nAvrh jugoslAfskEho prezidenta slobodana miloSeviCe na ukonCeJI jugoslAfskEho konfliktu, # je podle pRetstavitelU alijance nedostateCnI. $
Sentence00006|$ kterE uplatJujI vUCi skradzhovalE horJickE zamJestnaneckE zdravotJI pojiSTovJe pRetstavuje sprAvnA dokumentace, # a dobRe viplJenA ZAdost. $
Sentence00007|$ naopak nejpAdJejSIm proTiargumentem vipovIdajIcIm v prospjedzh zveRejJeJI seznamu je, # jednodudzhA otAska po spravedlnosTi pro denuncovanE. $
Sentence00008|$ dokonce i vrdzholJI manaZeRi nejvIznamJejSIdzh CeskobuDejovickIdzh podJikU nepovaZujI vidvoReJI pravolevE mJestskE radi, # za komunistickI puC. $
Sentence00009|$ Ze pragobanka neplJI zAvaznE ukazatele stabilizaCJIho programu, # a pro naplJeJI stabilizaCJIho programu pragobankou neexistujI zAruki. $
Sentence00010|$ ministersdvo pro mIstJI rozvoj ustoupilo od navrhovanE formi povinnEho jiSTeJI cestovJIdzh kancelARI, # prostRedJicdvIm garanCJIho fondu. $
Sentence00011|$ napRIklad ne^ustAlE poZadafki na stAtJI dotaci trvale deficitJIho hospodaReJI pojiSTovni, # Ci opoZDenE Uhradi zdravotJickIm zaRIzeJIm. $
Sentence00012|$ v pRIpaDe spoRitelni toTiZ neexistujI ZAdnE objektivJI pRekASki doprivatizace souvisejIcI se strukturou vlastJIkU stAtJIho poDIlu. $
Sentence00014|$ zda bi nebilo UCinJejSI zlepSit niJejSI nevhodnE zAzemI klasickIdzh policistU, # a viSetRovatelU objasJujIcIdzh hospodARskou kriminalitu. $
Sentence00015|$ kontroverzJI zAmJer fpusTit do zvEho ropnEho prUmislu zahraJiCJI koncerni, # kuvajtskI parlament projednAval bjehem sobotJIho zasedAJI. $
